HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
7404,Copper Waste And Scrap,2015,Oct,Suriname,82815,0.12,108.6937,76191.16839338435,Refined / Articles
7404,Copper Waste And Scrap,2015,Nov,Suriname,81158,0.12,108.6937,74666.70101395021,Refined / Articles
7404,Copper Waste And Scrap,2015,Dec,Suriname,100869,0.12,108.6937,92801.14670859488,Refined / Articles
7404,Copper Waste And Scrap,2016,Feb,Suriname,5791,1.26,110.0632,5261.52247072591,Refined / Articles
7404,Copper Waste And Scrap,2016,Mar,Suriname,5869,1.26,110.0632,5332.390844532959,Refined / Articles
7404,Copper Waste And Scrap,2016,Apr,Suriname,10357,1.26,110.0632,9410.048045123167,Refined / Articles
7404,Copper Waste And Scrap,2016,May,Suriname,112073,1.26,110.0632,101826.04176509497,Refined / Articles
7404,Copper Waste And Scrap,2016,Jul,Suriname,164914,1.26,110.0632,149835.73074379086,Refined / Articles
7404,Copper Waste And Scrap,2016,Aug,Suriname,6995,1.26,110.0632,6355.43942026036,Refined / Articles
7404,Copper Waste And Scrap,2016,Sep,Suriname,207386,1.26,110.0632,188424.46885062402,Refined / Articles
7404,Copper Waste And Scrap,2016,Oct,Suriname,112938,1.26,110.0632,102611.95385923724,Refined / Articles
7404,Copper Waste And Scrap,2016,Nov,Suriname,65695,1.26,110.0632,59688.43355453957,Refined / Articles
7404,Copper Waste And Scrap,2016,Dec,Suriname,201922,1.26,110.0632,183460.04840855073,Refined / Articles
7404,Copper Waste And Scrap,2017,Jan,Suriname,260935,2.13,112.4076,232132.88069489962,Refined / Articles
7404,Copper Waste And Scrap,2017,Feb,Suriname,100098,2.13,112.4076,89049.13902618685,Refined / Articles
7404,Copper Waste And Scrap,2017,Mar,Suriname,195951,2.13,112.4076,174321.84300705645,Refined / Articles
7404,Copper Waste And Scrap,2017,Apr,Suriname,3550,2.13,112.4076,3158.1494489696424,Refined / Articles
7404,Copper Waste And Scrap,2017,May,Suriname,147292,2.13,112.4076,131033.8446866582,Refined / Articles
7404,Copper Waste And Scrap,2017,Jun,Suriname,86012,2.13,112.4076,76517.95786050054,Refined / Articles
7404,Copper Waste And Scrap,2017,Jul,Suriname,3561,2.13,112.4076,3167.9352641636333,Refined / Articles
7404,Copper Waste And Scrap,2017,Aug,Suriname,105059,2.13,112.4076,93462.54167867653,Refined / Articles
7404,Copper Waste And Scrap,2017,Sep,Suriname,81194,2.13,112.4076,72231.77080553272,Refined / Articles
7404,Copper Waste And Scrap,2017,Oct,Suriname,6486,2.13,112.4076,5770.072486202001,Refined / Articles
7404,Copper Waste And Scrap,2017,Nov,Suriname,8266,2.13,112.4076,7353.595308502273,Refined / Articles
7404,Copper Waste And Scrap,2017,Dec,Suriname,90680,2.13,112.4076,80670.70198100485,Refined / Articles
7404,Copper Waste And Scrap,2018,Jan,Suriname,8516,2.44,115.1503,7395.5517267432215,Refined / Articles
7404,Copper Waste And Scrap,2018,Feb,Suriname,141184,2.44,115.1503,122608.45173655648,Refined / Articles
7404,Copper Waste And Scrap,2018,Apr,Suriname,178150,2.44,115.1503,154710.84313284463,Refined / Articles
7404,Copper Waste And Scrap,2018,May,Suriname,121201,2.44,115.1503,105254.61071312884,Refined / Articles
7404,Copper Waste And Scrap,2018,Jun,Suriname,54400,2.44,115.1503,47242.60379695059,Refined / Articles
7404,Copper Waste And Scrap,2018,Jul,Suriname,12389,2.44,115.1503,10758.981956625385,Refined / Articles
7404,Copper Waste And Scrap,2018,Aug,Suriname,10368,2.44,115.1503,9003.884488359996,Refined / Articles
7404,Copper Waste And Scrap,2018,Oct,Suriname,231052,2.44,115.1503,200652.5384649454,Refined / Articles
7404,Copper Waste And Scrap,2018,Dec,Suriname,133254,2.44,115.1503,115721.80011689069,Refined / Articles
7404,Copper Waste And Scrap,2019,Feb,Suriname,196558,1.81,117.2345,167662.24959376294,Refined / Articles
7404,Copper Waste And Scrap,2019,Apr,Suriname,12380,1.81,117.2345,10560.031390077154,Refined / Articles
7404,Copper Waste And Scrap,2019,May,Suriname,202383,1.81,117.2345,172630.92349095191,Refined / Articles
7404,Copper Waste And Scrap,2019,Jul,Suriname,128130,1.81,117.2345,109293.76591361758,Refined / Articles
