Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member)
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2014,373621
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2024,2672692
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,August 2018,34594
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2024,1134398
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2025,2409529
7616 Articles Of Aluminum Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,March 2020,71928
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2025,34032
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2021,1592984
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2012,226219
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2020,556504
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2020,2372451
"7904 Zinc Bars, Rods, Profiles And Wire",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2024,4992
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2020,21600
7616 Articles Of Aluminum Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,October 2020,544320
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2017,4837
7907 Articles Of Zinc Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2012,6869
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2025,10404028
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2022,7162224
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2019,12728
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2019,698027
7616 Articles Of Aluminum Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,January 2025,1163020
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2014,126413
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2025,19613087
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2022,22077919
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2016,5742
7404 Copper Waste And Scrap,Philippines,All Country Subcodes,All Rate Provisions,All Districts,July 2011,55195
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2018,201989
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2017,2855
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2022,763088
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2023,31774
7602 Aluminum Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2015,712094
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2017,11126
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2014,1328618
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2016,68034
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2018,1202470
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2017,580758
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,May 2016,8000
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2013,1100562
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2015,1257100
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2019,2082319
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2019,144795
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2011,83538
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2013,463328
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2017,159711
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,September 2011,495798
7605 Aluminum Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2018,17880
7907 Articles Of Zinc Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2022,73191
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2019,79609
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2016,5365
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2011,160728
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2021,14128
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2014,1621885
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2015,188302
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,July 2013,213390
7605 Aluminum Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2025,6546
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2024,225443
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,August 2017,508550
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2015,265299
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2023,45157
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,May 2012,2030
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2020,4892
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Cambodia,All Country Subcodes,All Rate Provisions,All Districts,December 2022,23166
"7604 Aluminum Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2020,420809
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2017,92745
7419 Articles Of Copper Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2019,259842
7408 Copper Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2018,108517
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2017,242393
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2019,216199
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2024,329240
7411 Copper Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2011,972372
7616 Articles Of Aluminum Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,September 2023,84515
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2022,15492036
7608 Aluminum Tubes And Pipes,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2017,6048
7411 Copper Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2021,7523009
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2015,260687
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,July 2015,48094
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2014,872119
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2015,2196
7907 Articles Of Zinc Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,June 2021,10141
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2018,8160
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2012,98505
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2014,104847
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,All Country Subcodes,All Rate Provisions,All Districts,March 2025,5030
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2018,2006983
7412 Copper Tube Or Pipe Fittings,Brunei,All Country Subcodes,All Rate Provisions,All Districts,June 2011,12067
7602 Aluminum Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2018,329547
"7604 Aluminum Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2011,342718
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2011,867174
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2024,1137754
7404 Copper Waste And Scrap,Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2017,13263
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2016,14688
7503 Nickel Waste And Scrap,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2010,52144
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,August 2017,43475
7419 Articles Of Copper Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2013,74028
"7604 Aluminum Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2018,494383
7411 Copper Tubes And Pipes,Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2023,7451
7616 Articles Of Aluminum Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,November 2021,549211
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2024,317012
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2023,23422
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2015,72069
"7508 Articles Of Nickel, Nesoi",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2011,1050289
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2024,72118
"7508 Articles Of Nickel, Nesoi",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,February 2015,753103
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2013,51085
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2015,4514803
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2023,2464535
7503 Nickel Waste And Scrap,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2014,297302
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2013,25507950
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2015,20500
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2014,544020
7503 Nickel Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2023,308640
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,All Country Subcodes,All Rate Provisions,All Districts,December 2018,6492
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2024,239803
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2010,2860
7907 Articles Of Zinc Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2011,38496
7605 Aluminum Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2019,61152
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2011,282601
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2013,25003
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2024,3688183
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2011,0
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2018,53445
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2023,3103
7411 Copper Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,November 2019,2712
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2025,1560789
7609 Aluminum Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2012,42090
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,September 2022,4352236
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2011,17091639
7608 Aluminum Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2011,41715
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2019,17639156
7404 Copper Waste And Scrap,Philippines,All Country Subcodes,All Rate Provisions,All Districts,November 2015,96214
