HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
2615,"Niobium, Tantalum, Vanadium & Zirconium Ore & Conc",2017,,Brazil,3867674,2.13,112.4076,3440758.454054708,Ore / Raw
2615,"Niobium, Tantalum, Vanadium & Zirconium Ore & Conc",2019,,Brazil,26744,1.81,117.2345,22812.397374493004,Ore / Raw
2615,"Niobium, Tantalum, Vanadium & Zirconium Ore & Conc",2022,,Colombia,11800,8.0,134.1947,8793.193769947695,Ore / Raw
2615,"Niobium, Tantalum, Vanadium & Zirconium Ore & Conc",2018,,Venezuela,80000,2.44,115.1503,69474.41734845676,Ore / Raw
2615,"Niobium, Tantalum, Vanadium & Zirconium Ore & Conc",2019,,Venezuela,1242276,1.81,117.2345,1059650.5294943042,Ore / Raw
2820,Manganese Oxides,2019,,Bolivia,41742,1.81,117.2345,35605.559796817484,Unknown
2820,Manganese Oxides,2015,,Brazil,663284,0.12,108.6937,610232.2397710263,Unknown
2820,Manganese Oxides,2016,,Brazil,1708706,1.26,110.0632,1552477.1222352248,Unknown
2820,Manganese Oxides,2017,,Brazil,1285589,2.13,112.4076,1143685.1244933617,Unknown
2820,Manganese Oxides,2018,,Brazil,1960025,2.44,115.1503,1702144.935792612,Unknown
2820,Manganese Oxides,2019,,Brazil,2923888,1.81,117.2345,2494050.8126873914,Unknown
2820,Manganese Oxides,2020,,Brazil,2632829,1.23,118.6765,2218492.287858169,Unknown
2820,Manganese Oxides,2021,,Brazil,2422909,4.7,124.2543,1949959.8806640897,Unknown
2820,Manganese Oxides,2022,,Brazil,343724,8.0,134.1947,256138.28265944927,Unknown
2820,Manganese Oxides,2023,,Brazil,1698104,4.12,139.7235,1215331.7086961032,Unknown
2820,Manganese Oxides,2024,,Brazil,1014623,2.9,143.7755,705699.510695494,Unknown
2820,Manganese Oxides,2025,,Brazil,853126,2.8,147.8012,577211.8223668007,Unknown
2820,Manganese Oxides,2022,,Colombia,44063,8.0,134.1947,32835.126871627566,Unknown
2820,Manganese Oxides,2023,,Colombia,2386375,4.12,139.7235,1707926.726713831,Unknown
2820,Manganese Oxides,2024,,Colombia,10136650,2.9,143.7755,7050331.941116533,Unknown
